orden,fase,fecha,sede,estadio,equipo_a,goles_a,goles_b,equipo_b,nota
108,OCTAVOS DE FINAL,7 de julio de 2026,Atlanta,Mercedes-Benz Stadium,Argentina,2,0,Turkey,OCTAVOS DE FINAL - partido 95
109,OCTAVOS DE FINAL,7 de julio de 2026,Vancouver,BC Place,Portugal,1,0,Colombia,OCTAVOS DE FINAL - partido 96
110,CUARTOS DE FINAL,9 de julio de 2026,Boston,Gillette Stadium,Norway,1,0,Sweden,CUARTOS DE FINAL - partido 97
111,CUARTOS DE FINAL,10 de julio de 2026,Los Ángeles,SoFi Stadium,Spain,1,0,Iran,CUARTOS DE FINAL - partido 98
112,CUARTOS DE FINAL,11 de julio de 2026,Miami,Hard Rock Stadium,France,1,2,England,CUARTOS DE FINAL - partido 99
113,CUARTOS DE FINAL,11 de julio de 2026,Kansas City,Arrowhead Stadium,Argentina,1,2,Portugal,CUARTOS DE FINAL - partido 100
114,SEMIFINALES,14 de julio de 2026,Dallas,AT&T Stadium,Norway,1,2,Spain,SEMIFINALES - partido 101
115,SEMIFINALES,15 de julio de 2026,Atlanta,Mercedes-Benz Stadium,England,1,3,Portugal,SEMIFINALES - partido 102
116,TERCER PUESTO,18 de julio de 2026,Miami,Hard Rock Stadium,Norway,2,0,England,TERCER PUESTO - partido 103
117,FINAL,19 de julio de 2026,Nueva York/Nueva Jersey,MetLife Stadium,Spain,2,0,Portugal,FINAL - partido 104
118,Podio,,,,,,,,1º Spain; 2º Portugal; 3º Norway
